0.5  	0.997  	7.0  	0.957  	13.5 	 0.906  	20.0  	0.839 
1.0  	0.994  	7.5  	0.954  	14.0 	 0.902  	20.5  	0.833 
1.5  	0.991  	8.0  	0.950  	14.5 	 0.897  	21.0  	0.827 
2.0  	0.989  	8.5  	0.946  	15.0 	 0.892  	21.5  	0.821 
2.5  	0.986  	9.0  	0.943  	15.5 	 0.888  	22.0  	0.815 
3.0  	0.983  	9.5  	0.939  	16.0 	 0.883  	22.5  	0.808 
3.5  	0.980  	10.0  	0.935  	16.5  	 0.878  	23.0  	0.802 
4.0  	0.977  	10.5  	0.931  	17.0  	 0.873  	23.5  	0.795 
4.5  	0.973  	11.0  	0.927  	17.5  	 0.867  	24.0  	0.788 
5.0  	0.970  	11.5  	0.923  	18.0 	 0.862  	24.5  	0.781 
5.5  	0.967  	12.0  	0.919  	18.5  	 0.857  	25.0  	0.774 
6.0  	0.964  	12.5  	0.915  	19.0  	 0.851  	25.5  	0.766 
6.5  	0.960  	13.0  	0.911  	19.5  	 0.845  	26.0  	0.759
